Model: {'serial': 'model_20231126160004', 'input_memory': 72, 'head_size': 8, 'num_heads': 2, 'ff_dim': 2, 'mlp_units': 8, 'ST_RMSE': 0.9712838132859435, 'RMSE': 1.3448217131802094, 'MAE': 3.7007823506971285}
Model: {'serial': 'model_20231126160117', 'input_memory': 72, 'head_size': 4, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 32, 'ST_RMSE': 0.7643482874125028, 'RMSE': 2.047523300810713, 'MAE': 5.900235033770842}
Model: {'serial': 'model_20231126160213', 'input_memory': 72, 'head_size': 4, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 16, 'ST_RMSE': 1.1582868967855862, 'RMSE': 1.2448118885033712, 'MAE': 2.713042225840249}
Model: {'serial': 'model_20231126160330', 'input_memory': 72, 'head_size': 4, 'num_heads': 8, 'ff_dim': 10, 'mlp_units': 8, 'ST_RMSE': 0.8019392606117007, 'RMSE': 1.0512028902415715, 'MAE': 2.465215457721251}
Model: {'serial': 'model_20231126160436', 'input_memory': 72, 'head_size': 4, 'num_heads': 8, 'ff_dim': 5, 'mlp_units': 32, 'ST_RMSE': 1.2418350891022427, 'RMSE': 1.2434193467373897, 'MAE': 3.4262662894928875}
Model: {'serial': 'model_20231126160548', 'input_memory': 72, 'head_size': 4, 'num_heads': 8, 'ff_dim': 5, 'mlp_units': 16, 'ST_RMSE': 1.45061604665621, 'RMSE': 1.4131153615190502, 'MAE': 4.02202988465486}
Model: {'serial': 'model_20231126160634', 'input_memory': 72, 'head_size': 4, 'num_heads': 8, 'ff_dim': 5, 'mlp_units': 8, 'ST_RMSE': 0.7328186774415992, 'RMSE': 1.482191905864419, 'MAE': 4.315609431885649}
Model: {'serial': 'model_20231126160729', 'input_memory': 72, 'head_size': 4, 'num_heads': 8, 'ff_dim': 2, 'mlp_units': 32, 'ST_RMSE': 0.925159044468524, 'RMSE': 1.534173447344976, 'MAE': 4.3853695682571905}
Model: {'serial': 'model_20231126160834', 'input_memory': 72, 'head_size': 4, 'num_heads': 8, 'ff_dim': 2, 'mlp_units': 16, 'ST_RMSE': 0.8909285768509895, 'RMSE': 1.1419304577794123, 'MAE': 2.912473965761064}
Model: {'serial': 'model_20231126160935', 'input_memory': 72, 'head_size': 4, 'num_heads': 8, 'ff_dim': 2, 'mlp_units': 8, 'ST_RMSE': 0.7399123934551786, 'RMSE': 1.1949441739085773, 'MAE': 3.005116396878913}
Model: {'serial': 'model_20231126161029', 'input_memory': 72, 'head_size': 4, 'num_heads': 4, 'ff_dim': 10, 'mlp_units': 32, 'ST_RMSE': 1.238401842302136, 'RMSE': 2.0004862784988973, 'MAE': 5.154158403448616}
Model: {'serial': 'model_20231126161140', 'input_memory': 72, 'head_size': 4, 'num_heads': 4, 'ff_dim': 10, 'mlp_units': 16, 'ST_RMSE': 1.2738898794418214, 'RMSE': 1.30287489873134, 'MAE': 3.3917789753859697}
Model: {'serial': 'model_20231126161259', 'input_memory': 72, 'head_size': 4, 'num_heads': 4, 'ff_dim': 10, 'mlp_units': 8, 'ST_RMSE': 0.9206996657647668, 'RMSE': 1.1192270664118842, 'MAE': 2.884636240650221}
Model: {'serial': 'model_20231126161412', 'input_memory': 72, 'head_size': 4, 'num_heads': 4, 'ff_dim': 5, 'mlp_units': 32, 'ST_RMSE': 0.8196725609968533, 'RMSE': 1.2457124945007174, 'MAE': 4.281356130960335}
Model: {'serial': 'model_20231126161504', 'input_memory': 72, 'head_size': 4, 'num_heads': 4, 'ff_dim': 5, 'mlp_units': 16, 'ST_RMSE': 0.9481811921694656, 'RMSE': 0.82398164407906, 'MAE': 2.400069271574184}
Model: {'serial': 'model_20231126161602', 'input_memory': 72, 'head_size': 4, 'num_heads': 4, 'ff_dim': 5, 'mlp_units': 8, 'ST_RMSE': 0.9561799679163901, 'RMSE': 1.0989731299241434, 'MAE': 2.5462883923012614}
Model: {'serial': 'model_20231126161700', 'input_memory': 72, 'head_size': 4, 'num_heads': 4, 'ff_dim': 2, 'mlp_units': 32, 'ST_RMSE': 2.680723790324738, 'RMSE': 3.027386834095345, 'MAE': 7.786475212607184}
Model: {'serial': 'model_20231126161812', 'input_memory': 72, 'head_size': 4, 'num_heads': 4, 'ff_dim': 2, 'mlp_units': 16, 'ST_RMSE': 0.9826406495168519, 'RMSE': 1.0813724250566932, 'MAE': 2.8343720813838034}
Model: {'serial': 'model_20231126161909', 'input_memory': 72, 'head_size': 4, 'num_heads': 4, 'ff_dim': 2, 'mlp_units': 8, 'ST_RMSE': 1.2408844727816744, 'RMSE': 1.2221452219116913, 'MAE': 2.7214881393868326}
Model: {'serial': 'model_20231126162024', 'input_memory': 72, 'head_size': 4, 'num_heads': 2, 'ff_dim': 10, 'mlp_units': 32, 'ST_RMSE': 1.5027020222955947, 'RMSE': 1.539970769838538, 'MAE': 5.38515228935362}
Model: {'serial': 'model_20231126162136', 'input_memory': 72, 'head_size': 4, 'num_heads': 2, 'ff_dim': 10, 'mlp_units': 16, 'ST_RMSE': 0.7489409801032368, 'RMSE': 1.013415902377308, 'MAE': 3.2881585739207884}
Model: {'serial': 'model_20231126162233', 'input_memory': 72, 'head_size': 4, 'num_heads': 2, 'ff_dim': 10, 'mlp_units': 8, 'ST_RMSE': 0.9784453301388072, 'RMSE': 1.1925214445067949, 'MAE': 2.916728224756875}
Model: {'serial': 'model_20231126162333', 'input_memory': 72, 'head_size': 4, 'num_heads': 2, 'ff_dim': 5, 'mlp_units': 32, 'ST_RMSE': 0.8712658403271487, 'RMSE': 1.2590721594088743, 'MAE': 2.6273082235122125}
Model: {'serial': 'model_20231126162458', 'input_memory': 72, 'head_size': 4, 'num_heads': 2, 'ff_dim': 5, 'mlp_units': 16, 'ST_RMSE': 1.326835469999268, 'RMSE': 1.6202635689962532, 'MAE': 4.833181052944138}
